 id_equipo,nombre_equipo,categoria,vida_util_estimada_horas,horas_uso_acumuladas,costo_adquisicion,CANTIDAD,CANTIDAD_DISPONIBLE,ESTATUS
60,ESP32 DevKit V1,Microcontrolador,60000,930,,,,
61,Sensor Ultras\'f3nico HC-SR04,Sensor,40000,150,,,,
62,Sensor Ultras\'f3nico HC-SR04,Sensor,40000,220,,,,
63,Sensor Ultras\'f3nico HC-SR04,Sensor,40000,180,,,,
64,Sensor Ultras\'f3nico HC-SR04,Sensor,40000,300,,,,
65,Sensor Ultras\'f3nico HC-SR04,Sensor,40000,190,,,,
66,Sensor de Temp. y Humedad DHT11,Sensor,30000,210,,,,
67,Sensor de Temp. y Humedad DHT11,Sensor,30000,330,,,,
68,Sensor de Temp. y Humedad DHT11,Sensor,30000,250,,,,
69,Sensor de Temp. y Humedad DHT11,Sensor,30000,400,,,,
70,Sensor de Temp. y Humedad DHT11,Sensor,30000,180,,,,
71,Sensor de Movimiento PIR HC-SR501,Sensor,40000,120,,,,
72,Sensor de Movimiento PIR HC-SR501,Sensor,40000,200,,,,
73,Sensor de Movimiento PIR HC-SR501,Sensor,40000,140,,,,
74,Sensor de Movimiento PIR HC-SR501,Sensor,40000,160,,,,
75,Sensor de Movimiento PIR HC-SR501,Sensor,40000,210,,,,
76,Kit de Fotorresistencias LDR,Sensor,50000,300,,,,
77,Kit de Fotorresistencias LDR,Sensor,50000,250,,,,
78,Kit de Fotorresistencias LDR,Sensor,50000,310,,,,
79,Kit de Fotorresistencias LDR,Sensor,50000,280,,,,
80,Kit de Fotorresistencias LDR,Sensor,50000,450,,,,
81,Kit de Resistencias (300 pcs),Componente,100000,50,,,,
82,Kit de LEDs (100 pcs),Componente,100000,80,,,,
83,Protoboard 830 Puntos,Herramienta,20000,250,,,,
84,Protoboard 830 Puntos,Herramienta,20000,310,,,,
85,Protoboard 830 Puntos,Herramienta,20000,190,,,,
86,Protoboard 830 Puntos,Herramienta,20000,400,,,,
87,Protoboard 830 Puntos,Herramienta,20000,350,,,,
88,Cables Jumper Macho-Macho (65 pcs),Herramienta,15000,120,,,,
89,Cables Jumper Macho-Macho (65 pcs),Herramienta,15000,200,,,,
90,Cables Jumper Macho-Macho (65 pcs),Herramienta,15000,150,,,,
91,Cables Jumper Macho-Macho (65 pcs),Herramienta,15000,180,,,,
92,Cables Jumper Macho-Macho (65 pcs),Herramienta,15000,210,,,,
93,Modulo Relevador 2 Canales,Componente,50000,310,,,,
94,Modulo Relevador 2 Canales,Componente,50000,400,,,,
95,Modulo Relevador 2 Canales,Componente,50000,280,,,,
96,Modulo Relevador 2 Canales,Componente,50000,330,,,,
97,Modulo Relevador 2 Canales,Componente,50000,250,,,,
98,Display LCD 16x2,Componente,20000,400,,,,
99,Display LCD 16x2,Componente,20000,350,,,,
100,Kit de Resistencias (300 pcs),Componente,100000,90,,,,
